                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    132,                 2.2885,                 1.7787,                 1.2819,                0.20718,                0.11884,                0.08579,                0.03654,                  2.539,                    2.1,                  1.305,             9.3759e-05,             9.3759e-05,             9.3759e-05
                    133,                 2.2748,                 1.7764,                 1.2714,                0.13301,                0.14179,                0.08267,                0.03363,                 2.5961,                 2.1216,                 1.3213,             9.2458e-05,             9.2458e-05,             9.2458e-05
                    134,                 2.2967,                 1.8136,                 1.2786,                0.31792,                0.08965,                0.09041,                0.03966,                 2.5524,                 2.0881,                 1.3018,             9.1156e-05,             9.1156e-05,             9.1156e-05
                    135,                 2.2894,                 1.8055,                 1.2844,                 0.2908,                0.11113,                0.09016,                0.03873,                 2.5375,                 2.1061,                 1.2949,             8.9854e-05,             8.9854e-05,             8.9854e-05
                    136,                 2.2876,                 1.7889,                 1.2772,                0.25828,                0.11148,                0.08945,                0.04023,                 2.4888,                 2.0577,                 1.2874,             8.8552e-05,             8.8552e-05,             8.8552e-05
                    137,                 2.2844,                 1.7592,                 1.2707,                0.35365,                0.08581,                0.09719,                 0.0417,                 2.5288,                 2.0714,                 1.3027,              8.725e-05,              8.725e-05,              8.725e-05
                    138,                  2.328,                 1.7853,                 1.2857,                 0.3499,                0.09201,                0.09521,                0.04321,                 2.4917,                 2.0597,                 1.2836,             8.5948e-05,             8.5948e-05,             8.5948e-05
                    139,                 2.2807,                 1.7708,                 1.2686,                0.40036,                0.08399,                0.09462,                0.04052,                 2.5372,                 2.0823,                    1.3,             8.4647e-05,             8.4647e-05,             8.4647e-05
                    140,                 2.3139,                 1.8045,                 1.2825,                0.38817,                0.08479,                0.09241,                0.04152,                 2.4946,                 2.0959,                 1.2866,             8.3345e-05,             8.3345e-05,             8.3345e-05
                    141,                 2.2961,                 1.7839,                 1.2664,                0.18301,                0.11244,                0.09183,                0.03913,                 2.5049,                 2.0613,                 1.2938,             8.2043e-05,             8.2043e-05,             8.2043e-05
                    142,                 2.2482,                 1.7581,                 1.2697,                0.27493,                 0.0908,                0.09077,                0.03765,                 2.5638,                 2.1002,                 1.3078,             8.0741e-05,             8.0741e-05,             8.0741e-05
                    143,                 2.2959,                 1.7773,                 1.2701,                0.21369,                0.11235,                0.08881,                0.03803,                 2.4992,                 2.0918,                 1.2887,             7.9439e-05,             7.9439e-05,             7.9439e-05
